season	day	capacitance	sampleNum	sampleSize	sleep	start	stop
summer	7	385	10	10	3	2.7	1.8
summer	7	385	10	10	3	2.5	1.8
summer	7	385	10	10	10	2.7	1.8
summer	7	385	10	10	10	2.5	1.8
summer	7	385	10	30	3	2.7	1.8
summer	7	385	10	30	3	2.5	1.8
summer	7	385	10	30	10	2.7	1.8
summer	7	385	10	30	10	2.5	1.8
summer	7	385	30	10	3	2.7	1.8
summer	7	385	30	10	3	2.5	1.8
summer	7	385	30	10	10	2.7	1.8
summer	7	385	30	10	10	2.5	1.8
summer	7	385	30	30	3	2.7	1.8
summer	7	385	30	30	3	2.5	1.8
summer	7	385	30	30	10	2.7	1.8
summer	7	385	30	30	10	2.5	1.8
summer	7	205	10	10	3	2.7	1.8
summer	7	205	10	10	3	2.5	1.8
summer	7	205	10	10	10	2.7	1.8
summer	7	205	10	10	10	2.5	1.8
summer	7	205	10	30	3	2.7	1.8
summer	7	205	10	30	3	2.5	1.8
summer	7	205	10	30	10	2.7	1.8
summer	7	205	10	30	10	2.5	1.8
summer	7	205	30	10	3	2.7	1.8
summer	7	205	30	10	3	2.5	1.8
summer	7	205	30	10	10	2.7	1.8
summer	7	205	30	10	10	2.5	1.8
summer	7	205	30	30	3	2.7	1.8
summer	7	205	30	30	3	2.5	1.8
summer	7	205	30	30	10	2.7	1.8
summer	7	205	30	30	10	2.5	1.8
summer	2	385	10	10	3	2.7	1.8
summer	2	385	10	10	3	2.5	1.8
summer	2	385	10	10	10	2.7	1.8
summer	2	385	10	10	10	2.5	1.8
summer	2	385	10	30	3	2.7	1.8
summer	2	385	10	30	3	2.5	1.8
summer	2	385	10	30	10	2.7	1.8
summer	2	385	10	30	10	2.5	1.8
summer	2	385	30	10	3	2.7	1.8
summer	2	385	30	10	3	2.5	1.8
summer	2	385	30	10	10	2.7	1.8
summer	2	385	30	10	10	2.5	1.8
summer	2	385	30	30	3	2.7	1.8
summer	2	385	30	30	3	2.5	1.8
summer	2	385	30	30	10	2.7	1.8
summer	2	385	30	30	10	2.5	1.8
summer	2	205	10	10	3	2.7	1.8
summer	2	205	10	10	3	2.5	1.8
summer	2	205	10	10	10	2.7	1.8
summer	2	205	10	10	10	2.5	1.8
summer	2	205	10	30	3	2.7	1.8
summer	2	205	10	30	3	2.5	1.8
summer	2	205	10	30	10	2.7	1.8
summer	2	205	10	30	10	2.5	1.8
summer	2	205	30	10	3	2.7	1.8
summer	2	205	30	10	3	2.5	1.8
summer	2	205	30	10	10	2.7	1.8
summer	2	205	30	10	10	2.5	1.8
summer	2	205	30	30	3	2.7	1.8
summer	2	205	30	30	3	2.5	1.8
summer	2	205	30	30	10	2.7	1.8
summer	2	205	30	30	10	2.5	1.8
